_id,Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source,continent_name,wage_span,median_salary,Avg Salary,lowest_salary,highest_salary
6578cd8bbc6190354d98f8d9,Afghanistan,126,82,3109153,16,594982,28,1051783,Very Low Confidence,4,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2151,Asia,Monthly,853.74,1001.15,252.53,4460.97
6578cd8bbc6190354d98f8da,Albania,127,83,238492,16,45058,28,79651,Very Low Confidence,8,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2160,Europe,Monthly,832.84,956.92,241.22,4258.49
6578cd8bbc6190354d98f8db,Algeria,135,91,3918529,16,673360,28,1190335,Very Low Confidence,12,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2107,Africa,Monthly,1148.84,1308.81,330.11,5824.18
6578cd8bbc6190354d98f8dc,Andorra,123,84,6497,13,988,26,1971,Low Confidence,20,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2161,Europe,Monthly,3668.08,4069.77,1120.51,17653.28
6578cd8bbc6190354d98f8dd,Angola,144,100,3169523,16,497755,28,879908,Very Low Confidence,24,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2176,Africa,Monthly,284.39,314.39,79.32,1403.96
6578cd8bbc6190354d98f8de,Antigua and Barbuda,113,74,7178,13,1244,26,2483,Low Confidence,28,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2046,Caribbean,Monthly,1548.15,1677.78,422.22,7444.44
6578cd8bbc6190354d98f8df,Argentina,116,72,3243563,16,700380,28,1238100,Very Low Confidence,32,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2047,South America,Monthly,110.28,129.42,32.57,577.13
6578cd8bbc6190354d98f8e0,Armenia,137,93,275195,16,46259,28,81775,Very Low Confidence,51,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2227,Asia,Monthly,1700.25,1974.32,497.39,8780.39
6578cd8bbc6190354d98f8e1,Aruba,113,74,7858,13,1362,26,2718,Low Confidence,533,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2048,Caribbean,Monthly,1106.15,1268.16,318.44,5642.46
6578cd8bbc6190354d98f8e2,Australia,133,102,2563110,9,238248,22,546340,High Confidence,36,Australia and New Zealand,https://www.unep.org/resources/report/unep-food-waste-index-report-2021,Oceania,Monthly,4306.45,4903.23,1236.13,21774.19
6578cd8bbc6190354d98f8e3,Austria,76,39,349249,9,77289,28,254191,High Confidence,40,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2245,Europe,Monthly,3572.94,4016.91,1014.8,17864.69
6578cd8bbc6190354d98f8e4,Azerbaijan,137,93,934872,16,157148,28,277800,Very Low Confidence,31,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2228,Asia,Monthly,1558.82,1741.18,441.18,7764.71
6578cd8bbc6190354d98f8e5,Bahamas,113,74,28792,13,4990,26,9960,Low Confidence,44,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2049,North America,Monthly,3541.0,3908.0,983.0,17416.0
6578cd8bbc6190354d98f8e6,Bahrain,171,132,216161,13,21026,26,41966,Low Confidence,48,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2229,Asia,Monthly,3617.02,3936.17,984.04,17553.19
6578cd8bbc6190354d98f8e7,Bangladesh,84,65,10618233,16,2550080,3,544436,Very Low Confidence,50,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2152,Asia,Monthly,218.57,236.71,59.68,1052.06
6578cd8bbc6190354d98f8e8,Barbados,113,74,21215,13,3677,26,7339,Low Confidence,52,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2050,Caribbean,Monthly,1395.0,1635.0,410.0,7250.0
6578cd8bbc6190354d98f8e9,Belarus,112,68,646356,16,147838,28,261341,Very Low Confidence,112,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2035,Europe,Monthly,849.5,983.28,247.49,4381.27
6578cd8bbc6190354d98f8ea,Belgium,80,50,576036,10,112100,20,227371,Medium Confidence,56,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2246,Europe,Monthly,5729.39,6522.2,1997.89,27378.44
6578cd8bbc6190354d98f8eb,Belize,97,53,20564,16,6106,28,10794,Very Low Confidence,84,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2051,Central America,Monthly,1730.0,1965.0,495.0,8750.0
6578cd8bbc6190354d98f8ec,Benin,144,100,1175297,16,184573,28,326280,Very Low Confidence,204,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2177,Africa,Monthly,488.25,549.48,138.58,2449.28
6578cd8bbc6190354d98f8ed,Bermuda,113,74,4606,13,801,26,1598,Low Confidence,60,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2114,Northern America,Monthly,1440.0,1600.0,400.0,7120.0
6578cd8bbc6190354d98f8ee,Bhutan,123,79,60000,16,11935,28,21098,Very Low Confidence,64,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2153,Asia,Monthly,407.26,449.3,113.17,1994.23
6578cd8bbc6190354d98f8ef,Bolivia,124,80,922012,16,180068,28,318315,Very Low Confidence,68,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2052,South America,Monthly,1131.5,1236.99,312.14,5505.78
6578cd8bbc6190354d98f8f0,Bosnia and Herzegovina,127,83,273269,16,51628,28,91266,Very Low Confidence,70,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2162,Europe,Monthly,1151.35,1248.65,313.51,5567.57
6578cd8bbc6190354d98f8f1,Botswana,136,92,211802,16,36030,28,63693,Very Low Confidence,72,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2178,Africa,Monthly,729.39,860.69,216.63,3822.03
6578cd8bbc6190354d98f8f2,Brazil,104,60,12578308,16,3300862,28,5835112,Very Low Confidence,76,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2054,South America,Monthly,1490.04,1711.16,432.27,7609.56
6578cd8bbc6190354d98f8f3,British Virgin Islands,113,74,2218,13,384,26,767,Low Confidence,92,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2055,,,,,,
